ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Company Name\" Required=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" Description=\"User friendly name that this Company Entity is given.\" CustomFormatter=\"\" EnforceUniqueValues=\"FALSE\" Indexed=\"TRUE\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" Description=\"User friendly ID that is a 2 to 6 letter company code that represents the  entity.\" DisplayName=\"Company Code\" Format=\"Dropdown\" MaxLength=\"6\" Name=\"CompanyCode\" Required=\"TRUE\" Title=\"Company Code\" Type=\"Text\" ID=\"{5a70ec68-0c26-49b6-a4fe-4e7dd77cc616}\" StaticName=\"CompanyCode\" CustomFormatter=\"\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" />","<Field Description=\"Is this company a subsidiary, division, or somehow subordinate to another company in our entities list?\" DisplayName=\"Subsidiary\" Format=\"Dropdown\" IsModern=\"TRUE\" Name=\"Subsidiary\" Title=\"Subsidiary\" Type=\"Boolean\" ID=\"{25c4df7f-7cc9-4474-9722-0aa4166096da}\" StaticName=\"Subsidiary\"><Default>0</Default></Field>","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Company Name\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>","<Field ID=\"{bc91a437-52e7-49e1-8c4e-4698904b2b6d}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitleNoMenu\" DisplayName=\"Company Name\" Dir=\"\" DisplayNameSrcField=\"Title\" AuthoringInfo=\"(linked to item)\" EnableLookup=\"TRUE\" ListItemMenuAllowed=\"Prohibited\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitleNoMenu\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkFilenameNoMenu\" /></FieldRefs><DisplayPattern><IfEqual><Expr1><LookupColumn Name=\"FSObjType\" /></Expr1><Expr2>1</Expr2><Then><Field Name=\"LinkFilenameNoMenu\" /></Then><Else><HTML><![CDATA[<a onfocus=\"OnLink(this)\" href=\"]]></HTML><URL /><HTML><![CDATA[\" onclick=\"EditLink2(this,]]></HTML><Counter Type=\"View\" /><HTML><![CDATA[);return false;\" target=\"_self\">]]></HTML><Column HTMLEncode=\"TRUE\" Name=\"Title\" Default=\"(no title)\" /><IfEqual><Expr1><GetVar Name=\"ShowAccessibleIcon\" /></Expr1><Expr2>1</Expr2><Then><HTML><![CDATA[<img src=\"/_layouts/15/images/blank.gif?rev=50\" class=\"ms-hidden\" border=\"0\" width=\"1\" height=\"1\" alt=\"Use SHIFT+ENTER to open the menu (new window).\"/>]]></HTML></Then></IfEqual><HTML><![CDATA[</a>]]></HTML><IfNew><HTML><![CDATA[<img src=\"/_layouts/1033/images/new.gif\" alt=\"]]></HTML><HTML>New</HTML><HTML><![CDATA[\" class=\"ms-newgif\" />]]></HTML></IfNew></Else></IfEqual></DisplayPattern></Field>","<Field ID=\"{5f190d91-3dbc-4489-9878-3c092caf35b6}\" Hidden=\"TRUE\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle2\" DisplayName=\"Company Name\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu) (old)\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle2\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><Field Name=\"_EditMenuTableStart\" /><SetVar Name=\"ShowAccessibleIcon\" Value=\"1\" /><Field Name=\"LinkTitleNoMenu\" /><SetVar Name=\"ShowAccessibleIcon\" Value=\"0\" /><Field Name=\"_EditMenuTableEnd\" /></Default></FieldSwitch></DisplayPattern></Field>"]}
"ID","Company Name","Company Code","Subsidiary","Parent Company Name","Parent Company ID","Location Country"
"14","Abu Dhabi National Oil Company","ADNOC","False",,,"United Arab Emirates"
"15","Access ESP","AESP","False",,,"United States"
"17","Advanced Power Solutions, Inc","APSI","False",,,"United States"
"16","Arch Oil Tools","AOT","False",,,"United States"
"18","ATK Missile Products Group","ATK","False",,,"United States"
"10","Baby Beer Master","BBM","True","Beer Masters LLC","9","United States"
"4","Baker Hughes","BHI","False",,,"United States"
"11","Barbie Inc","BIC","False",,,"Austria"
"9","Beer Masters LLC","BM","False",,,"United States"
"19","Blackhawk Specialty Tools","BST","False",,,"United States"
"20","Boss Completions, LTD","BCL","False",,,"Canada"
"21","BOTL","BOTL","False",,,"India"
"23","Brio-Tech Pressure Controls","BXR","False",,,"Canada"
"22","British Petroleum","BP","False",,,"United Kingdom"
"31","California Resources Corporation","CRC","False",,,"United States"
"24","Cameron","CAM","True","Schlumberger","7","United States"
"25","Canam Pipe & Supply","CPS","False",,,"Canada"
"26","Chevron Corporation","CVX","False",,,"United States"
"5","China National Petroleum Corporation","CNPC","False",,,"China"
"6","China National Petroleum Corporation - USA","CNPCUS","True","China National Petroleum Corporation","5","United States"
"27","Colorado School of Mines","CSM","False",,,"United States"
"28","ConocoPhillips","COP","False",,,"United States"
"127","Contango Resources, LLC","CORES","True","Crescent Energy Company","126","United States"
"29","Controval USA, LLC","CVU","False",,,"United States"
"30","Craig International Supplies, Inc","CIS","False",,,"United Kingdom"
"126","Crescent Energy Company","CRGY","False",,,"United States"
"33","Deepwater Abandonment Alternatives","DAA","True","Helix Energy Solutions Group, Inc","32","United States"
"34","Delvina Gas Company","DGS","False",,,"Albania"
"35","DistributionNOW","DNOW","False",,,"United States"
"36","Dodageo Integrated Energy Limited","DODA","False",,,"Nigeria"
"37","Downhole & Design International","DDI","False",,,"United States"
"38","Drover Energy Services","DRE","False",,,"United States"
"39","Eagle 4, Inc","EGL","False",,,"United States"
"41","Eneva","ENEV","False",,,"Brazil"
"40","Enhanced Oilfield Solutions","EOS","False",,,"United States"
"42","ENi","ENI","False",,,"Italy"
"44","EquiPetrol","EC","False",,,"United States"
"45","Eriell","ERL","False",,,"Russia"
"43","Eventure Global Technology","EGT","False",,,"United States"
"46","Expro Group","XPRO","False",,,"United States"
"47","ExxonMobil","XOM","False",,,"United States"
"48","Fike Corporation","FKE","False",,,"United States"
"49","FMC Technologies","FTI","False",,,"Canada"
"50","Forum Energy Technologies","FET","False",,,"United States"
"51","GB Connections","GBC","False",,,"United States"
"52","GE Energy OFT, Inc","GEV","False",,,"United States"
"53","GE Oil & Gas","GEOG","True","Baker Hughes","4","United Kingdom"
"54","Geoservices Equipments","GEOSE","True","Schlumberger","7","France"
"55","Giant Oil Tools","GOT","False",,,"Canada"
"56","Green Tweede & Co. Ltd.","GTC","False",,,"United States"
"57","Grupo SIMEX","SIM","False",,,"Mexico"
"58","Gryphon Oilfield Solutions","GRYPHO","False",,,"United States"
"59","Halliburton","HAL","False",,,"United States"
"32","Helix Energy Solutions Group, Inc","HLX","False",,,"United States"
"60","Hess Corporation","HES","False",,,"United States"
"61","Hunting Energy","HTG","False",,,"United Kingdom"
"3","Innovex Downhole Solutions","IDS","False",,,"United States"
"62","Innovex Downhole Solutions, Inc","INVX","False",,,"United States"
"134","INPEX Australia","IPX-A","True","INPEX Corporation","133","Australia"
"133","INPEX Corporation","IPX","False",,,"Japan"
"63","Interwell UK Ltd","INTWL","False",,,"United Kingdom"
"64","JMI Manufacturing, Inc.","JMI","False",,,"United States"
"65","M&R Manufacturing","MRM","False",,,"United States"
"66","Maverick Downhole Technologies","MVRK","False",,,"Canada"
"67","McMoRan Oil & Gas","MCMORA","False",,,"United States"
"69","National Oilwell Varco","NOV","False",,,"United States"
"68","Nigerian Agip Oil Company","NAE","True","ENi","42","Nigeria"
"12","Occidental Petroleum Corporation","OXY","False",,,"United States"
"70","Oceaneering Internationals, Inc.","OII","False",,,"United States"
"71","OCEANEX","OEX","False",,,"United States"
"72","OFI Testing Equipment","OFITE","False",,,"United States"
"73","Oil and Natural Gas Corporation Limited","ONGC","False",,,"India"
"74","Oilfield Service Professionals","OSP","False",,,"United States"
"75","Oliden Technology","ONT","False",,,"United States"
"76","Omega Well Intervention Limited","OWIL","False",,,"United Kingdom"
"77","OneSubsea","OSB","True","Schlumberger","7","Norway"
"78","OTJ Global Services","OTK","False",,,"United States"
"79","Owen Oil Tools LP","OWOT","False",,,"United States"
"80","Perenco","PRCO","False",,,"United Kingdom"
"81","Petrobras","PBR","False",,,"Brazil"
"82","Petroleo Brasileiro","PBO","True","Petrobras","81","Brazil"
"83","Petrolink","PLNV","False",,,"United States"
"84","Petronas Research SDN BHD","PTRNS","False",,,"Malaysia"
"85","Pinnacle Oil Tools Inc","PNOT","False",,,"United States"
"86","Polar Star Consultants, LLC","POS","False",,,"United States"
"87","Quantum Technology Sciences","QUBT","False",,,"United States"
"88","RedTech Offshore","RDTHO","False",,,"Malaysia"
"89","RMS Pumptools LTD","RMSP","False",,,"United Kingdom"
"90","Romgaz","RMGZ","False",,,"Romania"
"7","Schlumberger","SLB","False",,,"United States"
"91","Sea Hibiscus","SHIB","False",,,"Malaysia"
"92","SEACON Advanced Products, LLC.","SEAAP","False",,,"United States"
"130","Seplat Energy Producing Nigeria Unlimited ","SEPNU","False",,,"Nigeria"
"94","Shell Brasil Petróleo Ltda.","SHELB","True","Shell International","93","Brazil"
"93","Shell International","SHEL","False",,,"United Kingdom"
"95","Shorou Internatioanl","SHRO","False",,,"United Arab Emirates"
"96","Sinoenergy","SNO","False",,,"China"
"97","Sinopec","SASAC","False",,,"China"
"98","Sirte Oil Company","SOC","False",,,"Libya"
"99","Smart Completions","SMRTC","False",,,"Canada"
"100","Sooner Pipe, LLC","SOP","False",,,"United States"
"101","Special Quality Alloys, Inc.","SQA","False",,,"United States"
"102","Specialty Steel Supply-Customer","SSS","False",,,"United States"
